City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bredasdorp,65,ZA,1669846783,81,-34.5322,20.0403,63.12,2.44
Kruisfontein,8,ZA,1669846573,72,-34.0033,24.7314,64.89,4.54
Port Hardy,66,CA,1669846518,75,50.6996,-127.4199,27.99,14.38
Port Alfred,100,ZA,1669846559,94,-33.5906,26.891,66.18,1.01
Båtsfjord,75,NO,1669846784,86,70.6345,29.7185,31.78,9.22
Vaini,75,TO,1669846784,83,-21.2,-175.2,78.96,11.5
Taoudenni,0,ML,1669846784,19,22.6783,-3.9836,66.52,10.33
Atuona,65,PF,1669846532,74,-9.8,-139.0333,77.92,15.14
Chui,8,UY,1669846784,85,-33.6971,-53.4616,70.88,16.11
Dingle,99,PH,1669846785,93,10.9995,122.6711,75.74,8.37
Rikitea,85,PF,1669846785,71,-23.1203,-134.9692,72.95,12.46
New Norfolk,6,AU,1669846785,49,-42.7826,147.0587,56.71,1.01
Jamestown,100,US,1669846596,70,42.097,-79.2353,31.17,24.16
Fairbanks,100,US,1669846786,78,64.8378,-147.7164,4.23,0.0
Alyangula,95,AU,1669846786,68,-13.8483,136.4192,82.96,6.24
Ciudad Bolivar,79,VE,1669846786,57,8.1222,-63.5497,82.94,10.71
Punta Arenas,75,CL,1669846787,50,-53.15,-70.9167,51.91,34.52
Albany,100,US,1669846623,85,42.6001,-73.9662,51.58,5.99
Chokurdakh,100,RU,1669846787,97,70.6333,147.9167,-0.36,9.46
Kayerkan,100,RU,1669846787,99,69.3497,87.7602,-2.94,2.55
Mataura,76,NZ,1669846788,56,-46.1927,168.8643,50.49,9.24
Merauke,100,ID,1669846788,87,-8.4667,140.3333,78.17,11.18
Lagoa,3,PT,1669846788,75,39.05,-27.9833,61.9,8.08
East London,100,ZA,1669846788,90,-33.0153,27.9116,72.1,11.88
Ushuaia,40,AR,1669846715,57,-54.8,-68.3,51.42,23.02
Hobart,75,AU,1669846789,58,-42.8794,147.3294,57.06,12.66
Husavik,100,IS,1669846658,88,66.0449,-17.3389,41.99,12.46
Zhaoyuan,72,CN,1669846789,56,37.3592,120.3964,27.91,13.09
Golspie,100,GB,1669846789,96,57.9727,-3.978,44.67,4.85
Berdsk,2,RU,1669846790,89,54.7551,83.0967,-7.42,4.54
Moindou,95,NC,1669846790,62,-21.6924,165.677,86.11,5.03
Ilhabela,100,BR,1669846790,94,-23.7781,-45.3581,72.45,7.78
Peskovka,100,RU,1669846791,97,59.0448,52.3606,17.73,3.49
Vila Franca do Campo,49,PT,1669846791,86,37.7167,-25.4333,62.2,4.09
Saint-Joseph,49,RE,1669846791,78,-21.3667,55.6167,73.78,7.34
Izhma,99,RU,1669846792,100,65.0083,53.9113,-7.24,2.75
Upernavik,100,GL,1669846792,90,72.7868,-56.1549,7.57,17.78
Thompson,20,CA,1669846792,64,55.7435,-97.8558,-12.84,5.75
Codrington,87,AU,1669846494,84,-38.2667,141.9667,58.91,6.33
Nikolskoye,98,RU,1669846568,90,59.7035,30.7861,24.69,3.76
Esil,100,KZ,1669846793,82,51.9556,66.4042,9.12,10.13
Eufaula,0,US,1669846793,40,31.8913,-85.1455,71.64,4.61
Spring Hill,40,US,1669846738,89,28.4769,-82.5255,72.99,3.44
Hermanus,61,ZA,1669846793,85,-34.4187,19.2345,59.81,4.25
Tuktoyaktuk,100,CA,1669846794,85,69.4541,-133.0374,-0.4,9.22
Belyy Yar,20,RU,1669846794,76,53.6039,91.3903,-22.11,0.0
Asău,100,RO,1669846794,93,46.4333,26.4,33.28,2.98
Malia,64,GR,1669846794,77,35.2833,25.4667,64.81,11.01
Yangi Marg`ilon,40,UZ,1669846795,71,40.4272,71.7189,48.92,13.8
Lewistown,66,US,1669846795,73,40.5992,-77.5714,42.33,15.39
Kemin,96,KG,1669846795,98,42.7846,75.6892,31.23,2.89
Inhambane,20,MZ,1669846796,85,-23.865,35.3833,71.92,9.57
Shakawe,36,BW,1669846796,31,-18.3667,21.85,78.84,8.19
Busselton,99,AU,1669846796,79,-33.65,115.3333,62.35,10.47
Puerto Ayora,65,EC,1669846625,85,-0.7393,-90.3518,76.96,7.0
Qaanaaq,16,GL,1669846797,77,77.484,-69.3632,-22.22,4.79
Toppenish,92,US,1669846797,98,46.3774,-120.3087,37.22,1.39
Hobyo,11,SO,1669846797,76,5.3505,48.5268,79.38,11.77
Mahibadhoo,48,MV,1669846798,69,3.7833,72.9667,80.22,2.95
Severo-Kuril'sk,58,RU,1669846798,82,50.6789,156.125,29.7,9.98
Kerrville,0,US,1669846598,33,30.0474,-99.1403,56.3,13.8
Binghamton,100,US,1669846763,80,42.0987,-75.918,43.77,19.57
George Town,20,MY,1669846798,89,5.4112,100.3354,80.24,3.44
North Platte,0,US,1669846586,49,41.1239,-100.7654,34.38,10.36
Fortuna,100,US,1669846665,71,40.5982,-124.1573,53.94,20.71
Mar del Plata,100,AR,1669846666,97,-38.0023,-57.5575,65.08,14.97
Kiama,100,AU,1669846799,71,-34.6833,150.8667,68.38,3.15
Castro,88,BR,1669846799,93,-24.7911,-50.0119,63.09,3.4
Barrow,100,US,1669846799,93,71.2906,-156.7887,28.42,10.36
Ajdabiya,0,LY,1669846800,55,30.7554,20.2263,62.62,10.56
Banyumas,100,ID,1669846800,88,-7.5142,109.2942,75.78,1.1
Nome,100,US,1669846800,81,64.5011,-165.4064,24.87,10.36
Klaksvík,100,FO,1669846734,96,62.2266,-6.589,49.12,32.97
Butaritari,15,KI,1669846704,76,3.0707,172.7902,81.41,13.13
Hasaki,100,JP,1669846649,76,35.7333,140.8333,52.2,21.05
Mahébourg,40,MU,1669846675,88,-20.4081,57.7,73.26,3.44
Oranjemund,1,NA,1669846801,87,-28.55,16.4333,61.65,4.5
Mahendragarh,0,IN,1669846801,36,28.2833,76.15,59.88,2.53
Srednekolymsk,100,RU,1669846802,99,67.45,153.6833,-12.46,4.25
San Cristobal,56,VE,1669846802,83,7.7669,-72.225,71.78,4.9
Hasanpur,0,IN,1669846802,44,28.7167,78.2833,59.43,5.21
Altay,100,CN,1669846803,52,47.8667,88.1167,2.68,7.16
Isetskoye,100,RU,1669846803,88,56.4858,65.3226,4.12,5.66
San Policarpo,94,PH,1669846803,82,12.1791,125.5072,82.11,15.37
Medina,40,SA,1669846804,83,24.4686,39.6142,72.03,2.3
Mandera,60,KE,1669846628,34,3.9366,41.867,84.61,8.16
Shingū,86,JP,1669846804,74,33.7333,135.9833,44.42,5.41
Kapaa,0,US,1669846805,73,22.0752,-159.319,84.18,17.27
Malgobek,100,RU,1669846805,79,43.5092,44.5931,33.69,9.15
Nanortalik,100,GL,1669846805,80,60.1432,-45.2371,30.33,28.74
Vila Velha,100,BR,1669846805,94,-20.3297,-40.2925,76.95,8.05
Caucaia,40,BR,1669846806,76,-3.7361,-38.6531,80.55,11.5
Constanța,100,RO,1669846806,76,44.1833,28.65,34.7,17.83
Port Elizabeth,0,ZA,1669846806,89,-33.918,25.5701,67.1,8.05
Pangody,11,RU,1669846807,98,65.85,74.4859,-13.65,3.24
Saint-Pierre,75,RE,1669846807,64,-21.3393,55.4781,74.88,5.75
Qasigiannguit,100,GL,1669846808,93,68.8193,-51.1922,23.25,8.97
Yellowknife,20,CA,1669846808,76,62.456,-114.3525,-15.45,2.3
Mumbwa,49,ZM,1669846808,85,-14.9783,27.0619,65.37,5.73
Mariinsk,15,RU,1669846809,98,56.2139,87.7472,-12.95,1.43
Bluff,97,NZ,1669846622,82,-46.6,168.3333,50.81,17.27
Savannah Bight,11,HN,1669846809,77,16.45,-85.85,81.16,17.2
Constitución,0,CL,1669846809,67,-35.3333,-72.4167,60.12,17.6
Adrar,35,MR,1669846810,17,20.5022,-10.0711,68.41,8.46
Lompoc,100,US,1669846810,78,34.6391,-120.4579,62.78,14.97
Naryan-Mar,12,RU,1669846810,96,67.6713,53.087,4.73,8.34
Koumac,92,NC,1669846811,66,-20.5667,164.2833,85.19,4.47
Hualmay,66,PE,1669846811,75,-11.0964,-77.6139,70.72,9.66
Airai,99,TL,1669846811,90,-8.9266,125.4092,61.97,0.65
Tutóia,42,BR,1669846812,78,-2.7619,-42.2744,79.68,9.66
Khatanga,71,RU,1669846677,99,71.9667,102.5,-35.57,6.55
Sinnamary,76,GF,1669846648,88,5.3833,-52.95,76.91,9.19
Anadyr,0,RU,1669846812,86,64.75,177.4833,28.9,8.95
Talnakh,99,RU,1669846813,100,69.4865,88.3972,-3.1,5.23
Cherskiy,100,RU,1669846813,95,68.75,161.3,3.49,5.41
Souillac,40,MU,1669846813,88,-20.5167,57.5167,71.98,3.44
Kamenka,1,RU,1669846674,49,51.3223,42.7678,21.76,6.26
Arraial do Cabo,100,BR,1669846814,91,-22.9661,-42.0278,74.25,23.73
Carnarvon,4,AU,1669846814,82,-24.8667,113.6333,68.94,13.96
Northam,45,GB,1669846814,87,51.0333,-4.2167,42.26,7.67
Chumikan,100,RU,1669846815,78,54.7183,135.315,-9.89,22.64
Tuatapere,90,NZ,1669846719,78,-46.1333,167.6833,52.56,7.7
Nuuk,100,GL,1669846815,92,64.1835,-51.7216,22.87,31.0
Cockburn Town,0,TC,1669846725,70,21.4612,-71.1419,80.33,19.01
Aklavik,100,CA,1669846815,78,68.2191,-135.0107,1.4,3.44
Saskylakh,100,RU,1669846816,100,71.9167,114.0833,-27.9,7.49
Słupca,100,PL,1669846816,86,52.2873,17.8719,33.21,6.89
Lydenburg,0,ZA,1669846816,72,-25.0978,30.4597,52.34,2.89
Longyearbyen,75,SJ,1669846817,80,78.2186,15.6401,35.44,14.97
Clyde River,0,CA,1669846673,68,70.4692,-68.5914,-25.37,5.75
Walvis Bay,9,NA,1669846817,82,-22.9575,14.5053,61.75,5.75
Huntsville,0,US,1669846763,46,34.7304,-86.5861,49.82,12.66
Barcani,100,RO,1669846818,91,45.7,26.0833,31.64,3.06
Sioux Lookout,100,CA,1669846524,79,50.1001,-91.917,15.87,17.27
Kavieng,26,PG,1669846818,71,-2.5744,150.7967,82.83,1.86
Kudahuvadhoo,20,MV,1669846818,69,2.6708,72.8944,79.57,4.61
Uyuni,0,BO,1669846819,6,-20.4597,-66.825,59.72,16.37
Hilo,40,US,1669846642,78,19.7297,-155.09,86.29,5.75
Nizhniy Tsasuchey,15,RU,1669846819,81,50.5167,115.1333,-6.2,10.6
Manyana,0,BW,1669846819,29,-23.4,21.7167,76.26,7.67
Flin Flon,75,CA,1669846595,59,54.7682,-101.865,-7.76,4.61
Shache,4,CN,1669846569,22,38.4167,77.2406,18.61,2.89
Ponta do Sol,10,PT,1669846820,75,32.6667,-17.1,67.71,2.93
Port Hedland,69,AU,1669846820,74,-20.3167,118.5667,82.45,4.61
Tiarei,15,PF,1669846820,81,-17.5333,-149.3333,86.02,13.18
Bairnsdale,49,AU,1669846821,76,-37.8333,147.6167,62.06,1.01
Zyryanskoye,15,RU,1669846821,99,56.8306,86.6258,-15.56,2.84
Faya,86,SA,1669846821,80,18.3851,42.4509,55.92,2.26
Markova,98,UA,1669846822,96,48.6758,24.4138,29.75,4.07
San Quintín,10,MX,1669846822,63,30.4833,-115.95,60.76,11.74
Arlit,0,NE,1669846764,20,18.7369,7.3853,70.47,6.78
Tasiilaq,100,GL,1669846822,97,65.6145,-37.6368,39.36,20.27
Yulara,1,AU,1669846684,21,-25.2406,130.9889,73.27,8.46
Mwene-Ditu,98,CD,1669846823,96,-7.0,23.45,65.79,2.48
Goderich,100,CA,1669846823,64,43.7501,-81.7165,34.92,25.32
Cape Town,0,ZA,1669846654,83,-33.9258,18.4232,66.27,11.5
Saint George,0,US,1669846823,24,37.1041,-113.5841,58.42,3.0
Mount Gambier,66,AU,1669846780,80,-37.8333,140.7667,58.55,6.55
Silifke,100,TR,1669846824,71,36.3778,33.9344,62.91,6.15
Ribeira Grande,11,PT,1669846824,74,38.5167,-28.7,62.78,3.0
Dunedin,18,NZ,1669846824,53,-45.8742,170.5036,61.81,8.01
Camacha,75,PT,1669846825,82,33.0833,-16.3333,63.82,11.5
Xining,97,CN,1669846825,48,36.6167,101.7667,12.97,1.54
Aksu,27,CN,1669846825,20,41.1231,80.2644,16.12,1.61
Avarua,20,CK,1669846826,78,-21.2078,-159.775,80.65,18.41
Hârşeni,100,RO,1669846826,83,45.75,25.0167,34.27,2.48
Barcelos,100,PT,1669846702,89,41.5388,-8.6151,51.94,5.21
Mil'kovo,62,RU,1669846708,94,54.7167,158.6167,7.95,4.81
Sri Aman,99,MY,1669846827,100,1.2376,111.4621,71.65,0.0
Pisco,0,PE,1669846827,68,-13.7,-76.2167,71.65,20.71
Palmer,100,US,1669846827,85,42.1584,-72.3287,57.61,23.02
Bethel,100,US,1669846827,84,41.3712,-73.414,57.88,3.0
Yenotayevka,0,RU,1669846828,37,47.2456,47.0281,26.85,12.1
Esperance,16,AU,1669846828,60,-33.8667,121.9,67.03,13.31
Mana,28,GF,1669846828,88,5.6592,-53.7767,76.87,9.08
Bengkulu,98,ID,1669846829,87,-3.8004,102.2655,73.87,3.78
Acapulco de Juárez,40,MX,1669846563,66,16.8634,-99.8901,85.82,3.44
Colares,86,PT,1669846829,94,38.7992,-9.4469,56.75,13.0
Vardø,75,NO,1669846829,86,70.3705,31.1107,30.18,8.05
Aykhal,98,RU,1669846830,99,66.0,111.5,-28.59,11.43
Liberal,0,US,1669846830,33,37.0431,-100.921,42.94,21.85
Havre-St-Pierre,100,CA,1669846647,86,50.2334,-63.5986,23.0,14.97
Maragogi,100,BR,1669846830,76,-9.0122,-35.2225,77.83,9.26
Yen Bai,100,VN,1669846831,95,21.7,104.8667,64.78,3.76
Aloleng,12,PH,1669846831,78,16.1307,119.7824,79.32,9.89
Ruwi,97,OM,1669846831,45,23.5996,58.5507,69.49,2.82
Norman Wells,100,CA,1669846831,77,65.282,-126.8329,-11.16,4.61
Coquimbo,100,CL,1669846535,68,-29.9533,-71.3436,65.93,10.36
Chapais,100,CA,1669846832,98,49.7834,-74.8492,26.38,12.41
Cabo San Lucas,20,MX,1669846711,62,22.8909,-109.9124,82.62,10.36
Lorengau,98,PG,1669846717,74,-2.0226,147.2712,83.03,3.83
Dikson,100,RU,1669846832,94,73.5069,80.5464,22.33,12.1
Keminmaa,100,FI,1669846833,100,65.8596,24.8228,28.17,3.44
Katsuura,100,JP,1669846833,84,35.1333,140.3,55.22,18.03
Zhangjiakou,0,CN,1669846833,32,40.81,114.8794,9.03,6.82
Puerto Escondido,75,MX,1669846833,69,15.85,-97.0667,81.43,3.44
Koungou,0,YT,1669846834,78,-12.7336,45.2042,80.31,4.61
Deputatsky,100,RU,1669846710,99,69.3,139.9,-14.39,3.74
Salalah,20,OM,1669846590,73,17.0151,54.0924,77.09,3.44
Rawson,24,AR,1669846834,45,-43.3002,-65.1023,67.51,25.81
Natá,98,PA,1669846835,88,8.3333,-80.5167,80.47,2.98
Palu,100,ID,1669846835,91,-0.8917,119.8707,74.26,2.95
Gubkinskiy,15,RU,1669846835,99,64.434,76.5026,-14.58,5.59
Carbonia,3,IT,1669846835,77,39.1672,8.5222,46.0,2.53
Layog,99,PH,1669846836,96,7.0767,124.7306,73.58,1.74
Vihti,100,FI,1669846836,94,60.417,24.3197,33.85,3.0
Los Llanos de Aridane,100,ES,1669846836,72,28.6585,-17.9182,65.95,8.05
Leningradskiy,95,RU,1669846655,94,69.3833,178.4167,5.22,5.73
Seoul,0,KR,1669846546,57,37.5683,126.9778,17.04,5.75
Saint Paul Harbor,0,US,1669846636,54,57.79,-152.4072,26.11,0.0
Pevek,100,RU,1669846837,89,69.7008,170.3133,3.61,2.04
Narsaq,99,GL,1669846837,89,60.9167,-46.05,28.62,3.58
Nova Olímpia,77,BR,1669846592,56,-14.7972,-57.2881,80.42,3.69
Maryville,20,US,1669846581,47,35.7565,-83.9705,49.71,13.8
Baiyin,79,CN,1669846740,33,36.5583,104.2081,15.48,1.99
Warrington,75,GB,1669846838,93,53.3925,-2.5802,43.32,6.91
Aldan,100,RU,1669846838,94,58.6031,125.3894,-17.1,8.34
Kokkola,100,FI,1669846838,99,63.8385,23.1307,29.93,4.61
Nichinan,90,JP,1669846839,71,31.6,131.3667,47.88,5.03
Geraldton,100,AU,1669846778,68,-28.7667,114.6,68.41,6.91
Saint-Philippe,30,RE,1669846729,78,-21.3585,55.7679,74.79,9.26
Ostrovnoy,88,RU,1669846839,93,68.0531,39.5131,20.89,7.56
Lebu,0,CL,1669846839,69,-37.6167,-73.65,55.24,21.81
Cidreira,99,BR,1669846840,93,-30.1811,-50.2056,70.68,20.74
Tabas,100,IR,1669846801,37,33.5959,56.9244,52.02,4.61
Banda Aceh,100,ID,1669846840,80,5.5577,95.3222,77.65,2.48
Lavrentiya,33,RU,1669846575,90,65.5833,-171.0,21.11,8.23
Faanui,15,PF,1669846841,77,-16.4833,-151.75,80.2,13.0
Dalgopol,100,BG,1669846841,85,43.05,27.35,41.11,7.23
Negombo,92,LK,1669846841,86,7.2083,79.8358,75.74,6.2
Ulladulla,53,AU,1669846841,66,-35.35,150.4667,63.66,2.06
Lago da Pedra,88,BR,1669846842,76,-4.3333,-45.1667,79.65,2.35
Guerrero Negro,33,MX,1669846842,61,27.9769,-114.0611,64.42,13.29
The Valley,20,AI,1669846842,78,18.217,-63.0578,80.46,5.75
Aksay,12,RU,1669846843,27,47.26,39.87,34.25,17.0
Departamento de Maldonado,24,UY,1669846843,65,-34.6667,-54.9167,78.22,16.51
Province of Mantua,83,IT,1669846718,88,45.1667,10.7833,45.21,1.01
Alim,63,PH,1669846843,83,9.5649,122.4876,77.67,6.11
Torbay,0,CA,1669846671,84,47.6666,-52.7314,23.5,3.44
Florianópolis,100,BR,1669846844,98,-27.6146,-48.5012,72.41,2.3
Sabang,100,ID,1669846844,73,5.8933,95.3214,80.28,1.95
Russell,0,US,1669846844,55,32.3502,-85.1999,70.88,14.97
Hithadhoo,67,MV,1669846845,74,-0.6,73.0833,80.62,7.16
Mehamn,75,NO,1669846845,86,71.0357,27.8492,33.75,6.91
Culebra,6,PR,1669846845,82,18.303,-65.301,80.69,10.0
Mchinji,52,MW,1669846846,96,-13.7984,32.8802,61.52,2.98
Juruti,89,BR,1669846846,68,-2.1522,-56.0922,82.49,3.44
Vaitape,15,PF,1669846846,77,-16.5167,-151.75,80.19,12.93
Sehithwa,2,BW,1669846846,28,-20.4667,22.7167,77.18,6.17
São João do Paraíso,98,BR,1669846847,89,-15.3136,-42.0144,69.73,2.53
Erenhot,34,CN,1669846847,69,43.6475,111.9767,2.01,9.91
Santa Maria da Boa Vista,94,BR,1669846847,57,-8.8078,-39.8256,82.85,1.12
Aleksandrovskoye,87,RU,1669846848,86,44.7142,43.0008,31.84,21.81
Radomsko,100,PL,1669846848,87,51.0671,19.4448,31.51,7.11
São Filipe,63,CV,1669846848,65,14.8961,-24.4956,75.76,9.55
Luangwa,0,ZM,1669846848,77,-15.6167,30.4167,72.39,3.27
Zabid,0,YE,1669846849,74,14.1951,43.3152,76.33,7.61
Marsá Maţrūḩ,0,EG,1669846849,54,31.3525,27.2453,62.83,11.23
São José da Coroa Grande,100,BR,1669846849,78,-8.8978,-35.1478,77.65,9.71
Kaitangata,16,NZ,1669846608,50,-46.2817,169.8464,60.62,11.32
Arman',100,RU,1669846850,89,59.7,150.1667,23.02,10.45
Ambilobe,94,MG,1669846850,84,-13.2,49.05,75.94,1.34
Lata,100,PT,1669846850,93,40.1629,-8.3327,51.08,4.97
Lüderitz,0,NA,1669846851,79,-26.6481,15.1594,63.16,10.65
Sitka,0,US,1669846614,26,57.0531,-135.33,28.29,0.0
Rocha,26,UY,1669846851,77,-34.4833,-54.3333,72.86,14.92
Kapit,100,MY,1669846851,99,2.0167,112.9333,72.99,0.72
Jérémie,2,HT,1669846629,71,18.65,-74.1167,80.47,3.49
High Level,20,CA,1669846852,70,58.5169,-117.136,-11.09,2.3
Grand-Santi,65,GF,1669846852,98,4.25,-54.3833,72.45,2.57
Laoag,75,PH,1669846852,83,18.1989,120.5936,76.91,3.44
Provideniya,0,RU,1669846617,74,64.3833,-173.3,32.11,6.71
Timizart,17,DZ,1669846853,71,36.8,4.2667,48.15,4.83
Dandong,19,CN,1669846853,37,40.1292,124.3947,16.97,5.01
Ashikaga,100,JP,1669846853,64,36.3333,139.45,44.92,4.83
Nelson Bay,100,AU,1669846854,73,-32.7167,152.15,69.01,1.99
Naze,100,JP,1669846854,75,28.3667,129.4833,58.12,18.66
Vestmannaeyjar,78,IS,1669846854,77,63.4427,-20.2734,46.13,23.22
Mbumi,42,TZ,1669846854,93,-7.9058,39.2105,74.8,2.98
Viedma,64,AR,1669846855,44,-40.8135,-62.9967,62.76,15.26
